,symbol,name,area,industry,fullname,enname,market,list_date,code,exchange
2773,600399,抚顺特钢,辽宁,特种钢,抚顺特殊钢股份有限公司,"Fushun Special Steel Co.,LTD.",主板,20001229,sh.600399,沪
2774,600400,红豆股份,江苏,服饰,江苏红豆实业股份有限公司,"Jiangsu Hongdou Industrial Co.,Ltd",主板,20010108,sh.600400,沪
2775,600403,ST大有,河南,煤炭开采,河南大有能源股份有限公司,"Henan Dayou Energy Co., Ltd",主板,20031009,sh.600403,沪
2776,600405,动力源,北京,电气设备,北京动力源科技股份有限公司,"Beijing Dynamic Power Co., Ltd",主板,20040401,sh.600405,沪
2777,600406,国电南瑞,江苏,电气设备,国电南瑞科技股份有限公司,"NARI Technology Co., Ltd.",主板,20031016,sh.600406,沪
2778,600408,ST安泰,山西,焦炭加工,山西安泰集团股份有限公司,"Shanxi Antai Group Co.,Ltd.",主板,20030212,sh.600408,沪
2779,600409,三友化工,河北,化工原料,唐山三友化工股份有限公司,"Tangshan Sanyou Chemical Industries Co.,Ltd",主板,20030618,sh.600409,沪
2780,600410,华胜天成,北京,软件服务,北京华胜天成科技股份有限公司,"Beijing Teamsun Technology Co., Ltd.",主板,20040427,sh.600410,沪
2781,600415,小商品城,浙江,商品城,浙江中国小商品城集团股份有限公司,"Zhejiang China Commodities City Group Co.,Ltd",主板,20020509,sh.600415,沪
2782,600416,湘电股份,湖南,电气设备,湘潭电机股份有限公司,"Xiangtan Electric Manufacturing Co.,Ltd.",主板,20020718,sh.600416,沪
2783,600418,江淮汽车,安徽,汽车整车,安徽江淮汽车集团股份有限公司,"Anhui Jianghuai Automobile Group Corp.,Ltd.",主板,20010824,sh.600418,沪
2784,600419,天润乳业,新疆,乳制品,新疆天润乳业股份有限公司,"Xinjiang Tianrun Dairy Co.,Ltd.",主板,20010628,sh.600419,沪
2785,600420,国药现代,上海,化学制药,上海现代制药股份有限公司,"Shanghai Shyndec Pharmaceutical Co., Ltd.",主板,20040616,sh.600420,沪
2786,600421,华嵘控股,湖北,综合类,湖北华嵘控股股份有限公司,"Hubei HUARONG Holding Co.,Ltd.",主板,20040607,sh.600421,沪
2787,600422,昆药集团,云南,中成药,昆药集团股份有限公司,"KPC Pharmaceuticals,Inc.",主板,20001206,sh.600422,沪
2788,600423,柳化股份,广西,农药化肥,柳州化工股份有限公司,"Liuzhou Chemical Industry Co.,Ltd",主板,20030717,sh.600423,沪
2789,600425,青松建化,新疆,水泥,新疆青松建材化工(集团)股份有限公司,"Xinjiang Qingsong Building Materials and Chemicals(Group) Co.,Ltd",主板,20030724,sh.600425,沪
2790,600426,华鲁恒升,山东,农药化肥,山东华鲁恒升化工股份有限公司,"Shandong Hualu-Hengsheng Chemical Co.,Ltd",主板,20020620,sh.600426,沪
2791,600428,中远海特,广东,水运,中远海运特种运输股份有限公司,"COSCO SHIPPING Specialized Carriers Co., Ltd.",主板,20020418,sh.600428,沪
2792,600429,三元股份,北京,乳制品,北京三元食品股份有限公司,"Beijing Sanyuan Foods Co.,Ltd.",主板,20030915,sh.600429,沪
2793,600433,冠豪高新,广东,造纸,广东冠豪高新技术股份有限公司,"Guangdong Guanhao High-Tech Co.,Ltd",主板,20030619,sh.600433,沪
2794,600435,北方导航,北京,专用机械,北方导航控制技术股份有限公司,"North Navigation Control Technology Co.,Ltd.",主板,20030704,sh.600435,沪
2795,600436,片仔癀,福建,中成药,漳州片仔癀药业股份有限公司,"ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL., LTD",主板,20030616,sh.600436,沪
2796,600438,通威股份,四川,饲料,通威股份有限公司,"Tongwei Co., Ltd.",主板,20040302,sh.600438,沪
2797,600439,瑞贝卡,河南,服饰,河南瑞贝卡发制品股份有限公司,"Henan Rebecca Hair Products Co.,Ltd",主板,20030710,sh.600439,沪
2798,600444,国机通用,安徽,专用机械,国机通用机械科技股份有限公司,"Sinomach General Machinery Science & Technology Co.,Ltd.",主板,20040219,sh.600444,沪
2799,600446,金证股份,深圳,软件服务,深圳市金证科技股份有限公司,"Shenzhen Kingdom SCI-TECH.,LTD",主板,20031224,sh.600446,沪
2800,600448,华纺股份,山东,纺织,华纺股份有限公司,"Huafang Co.,Ltd",主板,20010903,sh.600448,沪
2801,600449,宁夏建材,宁夏,水泥,宁夏建材集团股份有限公司,"Ningxia Building Materials Group Co.,Ltd",主板,20030829,sh.600449,沪
2802,600452,涪陵电力,重庆,水力发电,重庆涪陵电力实业股份有限公司,"Chongqing Fuling Electric Power Industrial Co.,Ltd.",主板,20040303,sh.600452,沪
2803,600455,博通股份,陕西,文教休闲,西安博通资讯股份有限公司,"But'one Information Corporation, Xi'an",主板,20040329,sh.600455,沪
2804,600456,宝钛股份,陕西,小金属,宝鸡钛业股份有限公司,"Baoji Titanium Industry Co.,Ltd.",主板,20020412,sh.600456,沪
2805,600458,时代新材,湖南,塑料,株洲时代新材料科技股份有限公司,"Zhuzhou Times New Material Technology Co.,Ltd",主板,20021219,sh.600458,沪
2806,600459,贵研铂业,云南,小金属,贵研铂业股份有限公司,"Sino-Platinum Metals Co.,Ltd",主板,20030516,sh.600459,沪
2807,600460,士兰微,浙江,半导体,杭州士兰微电子股份有限公司,"Hangzhou Silan Microelectronics Co.,Ltd",主板,20030311,sh.600460,沪
2808,600461,洪城环境,江西,水务,江西洪城环境股份有限公司,"JIANGXI HONGCHENG ENVIRONMENT CO.,LTD.",主板,20040601,sh.600461,沪
2809,600462,ST九有,湖北,广告包装,湖北九有投资股份有限公司,"Hubei Geoway Investment Co.,Ltd.",主板,20030903,sh.600462,沪
2810,600463,空港股份,北京,园区开发,北京空港科技园区股份有限公司,"Beijing Airport High-Tech Park Co.,Ltd.",主板,20040318,sh.600463,沪
2811,600466,蓝光发展,四川,区域地产,四川蓝光发展股份有限公司,"Sichuan Languang Development Co., Ltd.",主板,20010212,sh.600466,沪
2812,600467,好当家,山东,渔业,山东好当家海洋发展股份有限公司,"Shandong Homey Aquatic Development Co.,Ltd",主板,20040405,sh.600467,沪
2813,600468,百利电气,天津,电气设备,天津百利特精电气股份有限公司,"Tianjin Benefo Tejing Electric Co.,Ltd.",主板,20010615,sh.600468,沪
2814,600469,风神股份,河南,汽车配件,风神轮胎股份有限公司,"Aeolus Tyre Co.,Ltd.",主板,20031021,sh.600469,沪
2815,600470,六国化工,安徽,农药化肥,安徽六国化工股份有限公司,"Anhui Liuguo Chemical Co.,Ltd",主板,20040305,sh.600470,沪
2816,600475,华光环能,江苏,环境保护,无锡华光环保能源集团股份有限公司,"Wuxi Huaguang Environment & Energy Group Co.,Ltd.",主板,20030721,sh.600475,沪
2817,600476,湘邮科技,湖南,软件服务,湖南湘邮科技股份有限公司,"Hunan Copote Science Technology Co.,Ltd.",主板,20031210,sh.600476,沪
2818,600477,杭萧钢构,浙江,钢加工,杭萧钢构股份有限公司,"Hangxiao Steel Structure Co.,Ltd",主板,20031110,sh.600477,沪
2819,600478,科力远,湖南,元器件,湖南科力远新能源股份有限公司,"Hunan Corun New Energy Co.,Ltd",主板,20030918,sh.600478,沪
2820,600479,千金药业,湖南,中成药,株洲千金药业股份有限公司,"Zhuzhou Qianjin Pharmaceutical Co.,Ltd",主板,20040312,sh.600479,沪
2821,600480,凌云股份,河北,汽车配件,凌云工业股份有限公司,Lingyun Industrial Corporation Limited,主板,20030815,sh.600480,沪
2822,600481,双良节能,江苏,环境保护,双良节能系统股份有限公司,"Shuangliang Eco-Energy Systems Co.,Ltd",主板,20030422,sh.600481,沪
2823,600482,中国动力,河北,电气设备,中国船舶重工集团动力股份有限公司,"China Shipbuilding Industry Group Power Co.,Ltd",主板,20040714,sh.600482,沪
2824,600483,福能股份,福建,火力发电,福建福能股份有限公司,"Fujian Funeng Co.,Ltd.",主板,20040531,sh.600483,沪
2825,600486,扬农化工,江苏,农药化肥,江苏扬农化工股份有限公司,"Jiangsu Yangnong Chemical Co.,Ltd.",主板,20020425,sh.600486,沪
